arc,conv,asp,pID,sID,dirDate,dirJD
48.858345504068836,0,0.0,2,25,8/13/2055 9:4:0,2471857.8780534295
-48.996431050886684,0,120.0,3,28,10/2/2055 18:42:0,2471908.279278018
-49.05145797864918,0,120.0,0,9,10/22/2055 21:58:0,2471928.4155646297
49.194825016622104,0,-120.0,9,4,12/14/2055 9:19:0,2471980.887900528
49.203298275678094,0,90.0,0,1,12/17/2055 11:44:0,2471983.9891133425
49.37616133111257,0,-90.0,3,6,2/18/2056 18:10:0,2472047.2569916314
50.194014713625165,0,-180.0,8,0,12/13/2056 21:32:0,2472346.3973149173
50.483583395765294,0,-60.0,4,0,3/29/2057 14:9:0,2472452.0898838984
-50.783779249717725,0,-90.0,1,3,7/17/2057 3:52:0,2472561.6613705913
50.839853648960684,0,90.0,2,10,8/6/2057 15:5:0,2472582.128526315
-50.87137299491282,0,120.0,5,25,8/18/2057 3:12:0,2472593.6330875875
51.0411875173435,0,90.0,4,24,10/19/2057 2:46:0,2472655.6153882747
-51.1226011743409,0,120.0,6,2,11/17/2057 19:57:0,2472685.3313730787
51.15411668349131,0,-180.0,10,5,11/29/2057 8:2:0,2472696.8345339186
-51.232189848171345,0,0.0,4,6,12/27/2057 19:57:0,2472725.331239027
-51.50419964838886,0,-120.0,8,6,4/6/2058 2:45:0,2472824.614816106
51.52354022328619,0,-120.0,2,6,4/13/2058 4:11:0,2472831.674125944
51.55037845323898,0,120.0,9,28,4/22/2058 23:17:0,2472841.4700798765
51.589479968985074,0,-60.0,0,3,5/7/2058 5:49:0,2472855.742133124
-51.6198778853377,0,120.0,8,24,5/18/2058 8:6:0,2472866.8373725927
51.75221048332972,0,0.0,6,4,7/5/2058 15:20:0,2472915.1387708597
-51.95994708587153,0,0.0,4,24,9/19/2058 11:6:0,2472990.9626307874
52.100682600823546,0,-90.0,9,5,11/9/2058 19:57:0,2473042.331093745
52.11581247085434,0,-60.0,1,8,11/15/2058 8:29:0,2473047.853496306
-52.70620971824606,0,90.0,1,28,6/18/2059 20:22:0,2473263.348491604
52.72965245272343,0,60.0,5,7,6/27/2059 9:43:0,2473271.905089688
-52.757859949260364,0,60.0,3,0,7/7/2059 16:49:0,2473282.200825924
53.16869725412997,0,60.0,5,24,12/4/2059 15:45:0,2473432.1564422017
-53.20742021036277,0,90.0,4,25,12/18/2059 18:58:0,2473446.2903212267
-53.32201293242244,0,60.0,0,4,1/29/2060 14:48:0,2473488.1166647784
53.7129622826005,0,0.0,2,9,6/20/2060 7:31:0,2473630.8131775935
-53.91999880454128,0,60.0,10,28,9/3/2060 21:9:0,2473706.3815081017
-53.978349557131196,0,0.0,9,2,9/25/2060 4:19:0,2473727.679532797
54.282752414607785,0,-90.0,5,4,1/15/2061 13:40:0,2473840.0693281908
-54.342609980134654,0,-90.0,7,4,2/6/2061 11:27:0,2473861.9771971735
-54.78110280815423,0,90.0,0,5,7/16/2061 23:10:0,2474022.4655722287
54.806487670529236,0,-90.0,10,8,7/26/2061 6:9:0,2474031.756431858
55.06569966817335,0,90.0,4,7,10/28/2061 1:30:0,2474125.5623233276
-55.09964339219573,0,-90.0,10,2,11/9/2061 10:51:0,2474137.9517825954
-55.24971949667264,0,120.0,4,9,1/3/2062 5:31:0,2474192.7295607296
-55.5392881788128,0,0.0,8,9,4/18/2062 22:8:0,2474298.422129711
-55.59875620286717,0,90.0,6,28,5/10/2062 15:4:0,2474320.127958491
-55.81432512908685,0,-60.0,7,5,7/28/2062 7:27:0,2474398.8106165607
55.87568301646576,0,90.0,3,1,8/19/2062 16:57:0,2474421.206245454
55.92778150559377,0,0.0,9,8,9/7/2062 17:20:0,2474440.222193986
56.147577793967486,0,-180.0,8,4,11/27/2062 2:17:0,2474520.595417036
-56.706665120491685,0,180.0,5,28,6/19/2063 17:19:0,2474725.2213785443
56.749539913235495,0,120.0,1,6,7/5/2063 9:56:0,2474740.9135526884
57.18231240165309,0,180.0,1,28,12/9/2063 15:1:0,2474898.1259710477
-57.40411355817247,0,90.0,5,9,2/28/2064 14:0:0,2474979.083393177
-57.48160187490557,0,90.0,8,28,3/27/2064 20:48:0,2475007.3666287847
57.6900392855714,0,120.0,7,25,6/11/2064 22:43:0,2475083.4462836776
-57.79031859187063,0,-60.0,1,2,7/18/2064 13:9:0,2475120.048230477
58.023061908639306,0,60.0,2,1,10/12/2064 11:59:0,2475205.9995410973
-58.149266901627584,0,-60.0,9,6,11/27/2064 13:33:0,2475252.0643635383
58.2963811059964,0,-120.0,1,9,1/20/2065 6:16:0,2475305.761048133
58.78352988838407,0,120.0,6,8,7/17/2065 1:41:0,2475483.5703537045
-58.85802535443611,0,120.0,7,25,8/13/2065 6:16:0,2475510.7611988136
59.07191319014939,0,60.0,10,24,10/30/2065 7:56:0,2475588.8302588486
